Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
Margem Construction Corp.,,Mary Mignone,7184490452,718 373-1788,margemconst@aol.com,WBE,,NON-MINORITY,2401 83rd Street,,Brooklyn,NY,11214,2401 83rd Street,,Brooklyn,New York,11214,,,,,"Masonry and concrete work, brick & block work, footings.",,,Schimenti Construction,202225,,01/27/2009,Concrete and footing work,Casella Construction,13500,,07/27/2010,Removal and installation of concrete sidewalk,Urban Foundation,21400,,06/12/2008,Install new CMV,,0,,,
Metro Traffic Safety Corporation,,Maria Scarano,7183586000,718 358-1128,mtsmetro1999@aol.com,WBE,,NON-MINORITY,2025 130th Street,Suite #B,College Point,NY,11356,20-25 130th Street,# B,College Point,New York,11356,http://www.mtsmetro.com,,,,Traffic Safety vehicles marketing to construction companies. Safety hightway products marketing to construction companies cushion safety product marketing to construction companies. ,,,MSP Contracting,251000,,01/01/2011,Rental of Traffic Safety Trucks Purchase of Highway Safety Products,Welsbach Electric Co.,105000,,01/01/2011,Rental of Traffic Safety Trucks Purchase of Highway Safety Products,Tully Construction,80000,,01/01/2011,Rental of Traffic Safety Trucks Purchase of Highway Safety Products,,0,,,
Mickey Rose International Company,,Rose Ngadi,7185840468,718 584-0469,ronga4@verizon.net,"MBE,WBE",04/30/2017;04/30/2017,BLACK,1325 Morris Avenue,,Bronx,NY,10456,P.O. Box 40,,Bronx,New York,10451,http://www.mickeyrose-international.com,,,,"Buying and supplies, kitchen installation cleaning services, specializing in office equipments, and industrial machineries. Flooring installations, supplier of cleaning materials. Baby food, snacks and juices supplies.",,,NYC DOT ,0,,09/22/2011,Supplies of Water cooler 9 filters ,DEP ,0,,02/01/2011,Supplies of salt spreaders machine ,,0,,,,,0,,,
"Muriel Siebert & Co., Inc",,Ameen Esmail,2126442451,212 838-0647,aesmail@siebertnet.com,WBE,,NON-MINORITY,885 Third Avenue,Suite # 3100,New York,NY,10022,885 Third Avenue,Suite # 1720,New York,New York,10022,http://www.siebertnet.com,,,,"Muriel Siebert & Co., Inc. is a memeber of the NYSE, FINRA and SIPC which provides investment banking, underwriting and institutional sales and trading services to leading corporations, investment managers and institutional investors nationwide.",,,The Teachers Retirement System (TRS)of The City of New York,0,,06/21/2012,"Muril Siebert & Co., Inc., provides brokerage trade executions services to the Variable Annuity Programs of TRS under its Commision Recapture Program.","Office of the Comptroller, The City of New York",0,,11/01/2007,"Muril Siebert & Co., Inc., participates in a pool of minority-and women-owned brokerage firms which provide trade execution services to the investment managers who in turn provide investment services on behalf of the City's public pension  ",,0,,,,,0,,,
New Yung Wah Trading LLC,,Nancy Zheng,7183883322,718 388-8097,nancy@nywtc.com,MBE,04/30/2017,ASIAN,311 Richardson Street,,Brooklyn,NY,11222,311 Richardson Street,,Brooklyn,New York,11222,http://www.nywtc.com,,50000,,"One stop shop for food service and restaurant supplies. Poultry, meats, produce,          , frozen goods, dry goods, canned goods, and containers; we carry them all. We deliver ",,,Sherwood Foods Distributor,7570,,10/01/2003,Canned and dried products sales,Handy Lee Co.,7127,,10/01/2003,"Soy sauce, lard and rice.",E-Z Supply Co,4893,,10/01/2003,"Corn starch, flour, soy sauce, rice",,0,,,
NUCO Painting Corp.,,Jason Jacinto,6314676602,631 615-2532,jajacinto@optonline.net,MBE,06/30/2017,HISPANIC,8 Oval Drive,,Islandia,NY,11749,8 Oval Drive,,Islandia,New York,11749,,,7000000,Painters Structural Steel Local Union 806,"Structural steel industrial painting company, speializing in the lead abatement and painting of complex structures.",,,DEFOE # TANE-10-52bCorp.,3739780,,04/01/2012,Painting 8 Bridges,LIRR 6083,1617000,,07/01/2012,Painting 5 LIRR Bridges,Posillico Civil,1380361,,11/01/2010,Rehabilitation and Painting of Route 110 Bridges,,0,,,
O.K. Electrical Service Corporation,,Orlando Torres,7186521212,7186521212,otorresh62@hotmail.com,MBE,05/30/2020,HISPANIC,727A Burke Avenue,,Bronx,NY,10467,727A Burke Avenue,,Bronx,New York,10467,,,,,"Electrical Contractors (Commercial, Residential, Industrial) Elecrical Services, Power Wiring, Communication Wiring and Intercom Services.  Lighting Installations and low voltage wiring",No,Building Construction (non-Residential); Residential Building Construction,Gazivoda Realty,126000,100,11/01/2014,Complete new electrical wiring in the building.,Agency Construction Corp.,227829,100,07/01/2014,Install new wiring and installation of new pole light fixtures.,Agency Construction Corp.,138275,100,05/01/2014,"Installation of new feeders, panel boards and control wiring for new chillers and existing boilers and equipment.",,0,,,
Quality Painting By James,,James Gibbs,6316804034,6313994917,paintingbyjames@hotmail.com,MBE,04/29/2020,BLACK,84 Biltmore Drive,,Mastic Beach,NY,11951,84 Biltmore Drive,,Mastic Beach,New York,11951,,,,,"Our services include Interior and Exterior Painting of Residential, Commercial Buildings. Sheetrock, Tape and Spackle, Wallpaper Removal and Hanging, Powerwashing and Lite Carpentry.",No,Residential Building Construction,F.E.G.S.,2900,100,02/12/2014,Spakle where needed and paint walls in 2 offices and 2 conference rooms.,Residential,11900,100,08/16/2013,"Scrape, sand, prepare upper portion of house and trim, apply 2 coats of satin stain.",Restoration Experts,2900,100,02/01/2014,"Install sheetrock, spackle 3 coats, install trim and crown molding, apply 1 coat of primer and 2 coats of finish.",Wanda's Gym,9500,100,09/30/2013,Apply one coat of primer and one coat of finish on walls only.
R.S. Painting Co. Inc.,,Reginald Swiney Sr.,3473693810,,rspaintingcoinc@yahoo.com,MBE,07/31/2017,BLACK,57 Hancock Street,,Brooklyn,NY,11216,57 Hancock Street,,Brooklyn,New York,11216,http://www.rspaintingcoinc.com,,,,Painting contractor,,,,0,,,,,0,,,,,0,,,,,0,,,
Ramdeens Electrical Contracting Corporation,,Baldath Ramdeem,7188453668,718 845-6204,bramdeen@verizon.net,MBE,11/30/2016,ASIAN,132-10 A Liberty Avenue,,Richmond Hill,NY,11419,132-10 A Liberty Avenue,,Richmond Hill,New York,11419,,,,,"Electrical wiring, commercial & residential HVAC & heating controls. Power & control wiring for fuel tanks & management systems. Boiler (fire pump) sprinkler system wiring, commissioning of tranformers/phase convertors - power & controls.",,,Procida Construction ,235000000,,06/01/2009,Electrical Wiring ,Ken Mar Design ,563000,,03/01/2009,Electrical Wiring ,Procida Construction ,563000,,07/01/2009,Electrical Wiring ,,0,,,
Rashel Construction Corporation,,Mohammed Hashem,7189720660,7189722581,info@rccgeneral.com,"MBE,WBE",06/30/2016;06/30/2016,ASIAN,524 McDonald Avenue,,Brooklyn,NY,11218,524 McDonald Avenue,,Brooklyn,New York,11218,,,2000000,,"We perform all kind of gc work including - concrete work, carpentry, painting, plastering, tiles work, brick work and roofing work.",,,NYC DHS,1500000,,04/01/2010,Concrete Work,NYC DHS,126638.67,,12/12/2010,"Brick Work, Roofing, Painting, Tiles Work, Stucco",NYCHA,889063.95,,12/01/2010,Fence Work,,0,,,
Reece Restoration & Finishing Inc.,,Lisa Grace Vachon-Coco,2128793589,212 879-6054,reecerestoration@aol.com,WBE,,NON-MINORITY,223 East 74th Street,,New York,NY,10021,223 East 74th Street,Ground Floor,New York,New York,10021,http://www.reecerestoration.com,,,,"Painting interior, tile, wood & vinyl installations. Carpentry services complete interior services sales; building material, electrical & plumbing fixtures, supplies, stone countertops.",,,44 Walker Street,6800,,02/01/2003,Painting,Harbor View Marina,32000,,05/01/2003,"Painting, carpeting, and interior decorating","Nora Marino, Esq.",5000,,04/01/2003,Painting,,0,,,
S & W Construction,,Wendel Anderson,7189403325,718 282-9523,snwconstruction@aol.com,MBE,06/30/2017,BLACK,5015 Avenue D,2nd Fl00r,Brooklyn,NY,11203,5015 Avenue D,2nd Floor,Brooklyn,New York,11203,,,,,S & W Construction is a general construction company which specializes in interior and exterior renovation to residential and commercial properties.,,,New York City School Construction Authority,701557,,06/01/2009,"Bathroom renovation- franing, sheetrock, install doors and hardware, install floor & wall ceramic tiles, painting, plastering, cate in place concrete, rough & finish carpentry.",New York City School Construction Authority,752620,,06/01/2009,"Caste in place concrete, Rough & Finish Carpentry, VCT Tile, Plasltering, painting sand & refinish wood floor",New York City School Construction Authority,216885,,06/01/2008,"Painting, plastering, caste in place concrete, VCT Tile, rough & finish carpentry.",,0,,,
"Sofrock International, Inc.",,Brij Gajwani,5165938671,516 593-8694,brij.sofrock@gmail.com,MBE,09/30/2016,ASIAN,767 Cornwell Avenue,,Malvern,NY,11565,767 Cornwell Avenue,,Malverne,New York,11565,,,,,"Sofrock International Inc., provides professional level insulation contracting, mechanical contracting and construction management services for HVAC, plumbing and general mechanical projects.",,,NYCDEP,142400,,07/01/2009,Insulation of Mechanical Systems,Albert Einstein College of Medicine,123503,,04/01/2009,Insulation of Pipes and Chillers,NYCDEP,6750000,,04/01/2011,Insulation of HVAC Systems,,0,,,
Sup-Tech Construction Corp.,,Abdul Munawar,9177443329,718 491-9076,awais@sup-techcorp.com,MBE,02/28/2018,ASIAN,6901 7th Avenue,,Brooklyn,NY,11228,6901   7th Avenue,,Brooklyn,New York,11228,,,,NYC DC Carp 157,Sup-Tech Construciton Corp is a fully licensed home improvements contracting firm which specializes in both interior and exterior renovation.,,,Manhattan Business Interiors Inc. dba MBI Group,250000,,09/08/2011,Carpentry/Interior Renovation,,0,,,,,0,,,,,0,,,
"Susan Doban Architect, PC",,Susan Doban,7187971041,718 797-1340,sdoban@dobanarchitecture.com,WBE,,NON-MINORITY,25 Chapel Street,Suite 900,Brooklyn,NY,11201,25 Chapel Street,Suite 900,Brooklyn,New York,11201,http://www.susandoban.com,,,,"Full service architecture firm. Our services include site planning, schematic design, interior design, construction documents, construction administration.  Our project types include storefront and facades, offices, branded environments, educational facilities, historic buildings and economic development projects.",,,Monroe College,1252153,100,05/01/2014,"Prime Full service Architectural schematic design, design development, construction documents and construction administration.",NYC School Construction Authority,2036000,90,05/01/2014,Prime Full Service Architectural (Capital Improvements),NYC Dept. of Small Business Services,54000,100,09/27/2013,Prime Full Service Architectural Design,,0,,,
"Tracy and Malik's Bus Company, Inc.",,Malik Turnage,3475510763,7182287632,tracyandmaliksbus@hotmail.com,MBE,09/30/2015,BLACK,221-23 130th Avenue,,Laurelton,NY,11413,221-23 130th Avenue,,Laurelton,New York,11413,http://www.tracyandmaliksbus.com,,,,"Safe, reliable and affordable transportation for schools, daycares, afterschool programs and summer camps",,,A + A Adventure Camp,20000,,07/14/2008,The bus picks up the campers in the morning and drops them off to camp. Then the bus returns and delivers the children to their homes,Kathy's Day Care,24000,,09/01/2009,We transport the day care children to and from the school 5 days a week,Magic Carpet Day Camp,36000,,07/01/2008,We pick up the campers in the morning from home and drop them at camp. Then the bus picks the children up from camp and drops them at home safely for eight weeks,,0,,,
"Y.E.C, Inc.",,Yuan Shan Chen,8452683203,845 268-5313,ed.chen@yecinc.net,MBE,04/30/2017,ASIAN,612 Corporate Way,Suite # 4- M,Valley Cottage,NY,10989,612 Corporate Way,Suite # 4- M,Valley Cottage,New York,10989,http://www.yecinc.net,,,,"Engineering consulting services; water & waste water engineering & environmental impact statements, construction inspection services, surveying services, computer aided design , GIS, air montitoring, hazadous waste site investigations & remedial construction oversight.",,,CDM,400000,,06/01/2010,Haz. waste remediation oversight,URS,350000,,01/01/2010,NYCT Underground storage tank (UST) remediation,EA Engineers,600000,,02/01/2009,Remediation oversight,,0,,,
Y.P.S. Contracting Corp.,,Pedro Alejandro Sanchez,7187794253,718 779-4253,pasanchez@ypscontracting.com,MBE,09/30/2016,HISPANIC,110-11 Queens Boulevard,Apt. #14-N,Forest Hills,NY,11375,P.O. Box 751240,,Forest Hills,New York,11375,,,,,"Painting, surface preparation (Lead Abatement, sandblasting, water-blasting, elastomeric removal, graffiti removal), anti graffiti applicator, elastomeric applicator and waterproofing.",,,DEP,145000,,04/01/2012,Surface preparation waterblasting cleaning and special coating application.,NYC Dept. Parks & Rec.,82000,,08/22/2013,Surface preparation and painting.,NYCHA,10500,,12/11/2013,Surface preparation and painting elevator doors.,,0,,,
ZHN Contracting Corporation,,Zakir Naseem,7188213111,718 821-1423,zakir.h@zhnconctracting.com,MBE,03/31/2017,ASIAN,30 Meadow St.,,Brooklyn,NY,11206,30 Meadow St.,,Brooklyn,New York,11206,http://www.zhncontracting.com,,,,General Contracting services.,,,Bklyn Navy Yard ,0,,07/01/2010,Ext widows ,NYSCA,0,,09/09/2009,Ext Masorny ,NYSCA,0,,08/01/2010,Ext Masorny ,,0,,,
Traffic Databank LLC,,Victor Ochieng,7327107471,8663654284,traffic.databank@gmail.com,MBE,02/27/2020,BLACK,716 South Sixth Avenue,,Mount Vernon,NY,10550,716 South Sixth Avenue,,Mount Vernon,New York,10550,http://www.trafficdatabank.com,06/08/2006,,,Traffic & transportation data collection and preliminary traffic engineering field work for analysis.,,,NYS DOT,790000,100,03/01/2014,"Traffic data collection in regions 1,2,3,8,9,10 & 11 for NYS DOT. ATR data collected and submitted in DOT format.",NYS DOT/PANYNJ,96500,100,02/01/2014,Video(Miovision) counts and automatic traffic recorder counts for a period of one week. All camera/video at 65 locations done at once.,NYS DOT,46500,100,12/01/2014,"Video counts at 46 locations concurrently, speed counts, ATR counts within one week.",,0,,,
"Apple Maintenance Services, Inc.",,Manuel Aguiar,9145920002,9145920522,applemain@verizon.net,MBE,05/30/2020,HISPANIC,5 Westchester Plaza,Ste. 105,Elmsford,NY,10523,5 Westchester Plaza,Ste. 105,Elmsford,New York,10523,http://WWW.AppleMain.com,04/25/1985,2000000,,"We provide superior quality janitorial services for offices, retail businesses, gov't buildings, etc.  We also do construction cleaning, pressure washing services, commercial kitchen cleaning, window cleaning.",No,"Site work, i.e. Parks",NYC HRA,480000,,06/30/2009,Janitorial Services @ 210 Livingston,Con Edison,720000,,07/01/2011,Janitorial Services @ Various Locations,Empire Industrial,420000,,07/01/2011,Janitorial Services @ Various Supermarkets,,0,,,
Design America Import Corp.,,Jeanne Kromberg,2126293955,212 268-0977,jeanne@paradigmtrends.com,WBE,,NON-MINORITY,136 Madison Ave,4th Floor,New York,NY,10016,136 Madison Ave,4th Floor,New York,New York,10016,http://www.paradigmtrends.com,03/13/1990,,,Import & wholesale home/hotel accessories across the USA.,,,Macys,550000,,01/01/2011,Supply bath accessories,Gracious Home,2167200,,01/01/2011,Supply bath accessories,The Regency Hotel,2435,,01/01/2011,Supply bath accessories,,0,,,
"Front Studio Architects, LLC",,Hoang-Yen Haduong,2123346820,2123346820,hoangyen@frontstudion.com,"MBE,WBE",01/30/2020;01/30/2020,ASIAN,16 West 22nd Street,8th Floor,New York,NY,10010,16 West 22nd Street,8th Floor,New York,New York,10010,,09/14/2009,,,"Full service architecture firm specializing in mixed use buildings, commercial spaces and residential architecture. Our services include programming, pre-planning, design, construction administration, filing and permits as well as project close-out.",,,Iridesco,80000,,04/01/2012,Full architectural services for gut reno of commercial office space for tech company,1100 Smallman,300000,,08/01/2013,"Full architectural services for 59 rental unit mixed use project, all new ground-up construction",Sharpsburg Library,37000,,01/01/2012,Full architectural service for renovation of existing library including addition,,0,,,
